player_id,player_name,age,citizenship,foot,position,main_position,current_club_name,team_name,competition_name,season,minutes_played_num,goals_per90,assists_per90,ga_per90,market_value_eur,value_band,spike_score,production_pct,age_upside,affordability,minutes_confidence,hidden_gem_score
949389,Niklas Mohr (949389),22.1,Germany,left,Midfield - Left Midfield,Midfield,SC Paderborn 07,SG Sonnenhof Großaspach,Oberliga Baden-Württemberg,24/25,928.0,0.1939655172413793,0.5818965517241379,0.7758620689655172,75000.0,<=0.5m,0.9791666666666666,0.8421052631578947,0.1999999999999998,0.8526645768025078,0.3712,74.58395319804212
1079286,Marcel Fischer (1079286),22.0,Germany,right,Midfield - Central Midfield,Midfield,TSV Aubstadt,Würzburger FV 04,Bayernliga Nord,24/25,1440.0,0.125,0.1875,0.3125,25000.0,<=0.5m,0.8496732026143791,0.8496732026143791,0.21428571428571427,0.9827586206896551,0.576,73.92758427508934
1049104,Zakaria Taifi (1049104),20.9,United States  Morocco,right,Midfield - Defensive Midfield,Midfield,Orlando City SC,Orlando City B,MLS Next Pro,2025,1356.0,0.0663716814159292,0.2654867256637168,0.331858407079646,,,0.925531914893617,0.925531914893617,0.3714285714285716,0.5,0.5424,73.89877203647416
1232071,Rayhan El Grafel (1232071),19.1,Belgium,,Midfield,Midfield,Beerschot VA,Beerschot VA U23,3de Nationale VV A,24/25,1091.0,0.1649862511457378,0.0,0.1649862511457378,,,0.8981481481481481,0.8,0.6285714285714283,0.5,0.4364,73.1507724867725
1119392,Lilian Coponat (1119392),21.1,France,right,Midfield - Defensive Midfield,Midfield,GFA Rumilly Vallières,Olympique Lyon B,National 3 - Grp. I,24/25,929.0,0.193756727664155,0.0968783638320775,0.2906350914962325,,,0.9675925925925926,0.9148936170212766,0.34285714285714264,0.5,0.3716,73.09789237870089
1135016,Cielo Tschantret (1135016),20.5,United States,,Midfield - Defensive Midfield,Midfield,Sporting Kansas City II,Sporting Kansas City II,MLS Next Pro,2025,983.0,0.1831129196337741,0.091556459816887,0.2746693794506612,,,0.9328703703703703,0.8936170212765957,0.42857142857142855,0.5,0.3932,72.89779139930204
924857,Lennon Miller (924857),20.0,Scotland,right,Midfield - Central Midfield,Midfield,Udinese Calcio,Motherwell FC,Premiership,24/25,1178.0,0.1528013582342954,0.4584040747028863,0.6112054329371817,8000000.0,5-10m,0.9803921568627451,0.9803921568627451,0.5,0.09247648902821315,0.4712,72.83020025815969
694592,Nicolas Wisak (694592),22.5,Austria,,Midfield - Defensive Midfield,Midfield,SV Oberwart,SKN St. Pölten Juniors,LL Niederösterreich,24/25,987.0,0.0911854103343465,0.6382978723404256,0.7294832826747721,0.0,<=0.5m,0.9893617021276596,0.9893617021276596,0.14285714285714285,0.5,0.3948,72.59541641337385
826064,Samuele Di Benedetto (826064),21.1,Germany  Italy,left,Midfield - Defensive Midfield,Midfield,VfB Stuttgart II,VfB Stuttgart II,3. Liga,24/25,908.0,0.198237885462555,0.2973568281938326,0.4955947136563877,600000.0,0.5-2m,0.9787234042553191,0.9787234042553191,0.34285714285714264,0.3385579937304075,0.3632,72.58093045325914
866656,Cameron Bragg (866656),21.4,Scotland  England,,Midfield - Central Midfield,Midfield,Southampton FC U21,Southampton FC U21,Premier League 2,24/25,983.0,0.091556459816887,0.2746693794506612,0.3662258392675483,150000.0,<=0.5m,0.9019607843137255,0.9019607843137255,0.3000000000000002,0.6802507836990596,0.3932,72.37315803061037
766253,Dylan Kadji (766253),23.0,England  Cameroon,right,Midfield - Defensive Midfield,Midfield,Wealdstone FC,Weston-super-Mare AFC,National League South,24/25,1039.0,0.2598652550529355,0.519730510105871,0.7795957651588066,0.0,<=0.5m,1.0,1.0,0.07142857142857142,0.5,0.4156,72.29885714285716
1001394,Nicolás Rincón (1001394),20.7,Colombia,left,Midfield - Attacking Midfield,Midfield,Columbus Crew 2,Columbus Crew 2,MLS Next Pro,2025,963.0,0.1869158878504672,0.2803738317757009,0.4672897196261681,0.0,<=0.5m,0.9421296296296297,0.8727272727272727,0.4000000000000001,0.5,0.3852,72.25292592592592
818866,Andrea Vaiarelli (818866),22.6,Italy,right,Midfield - Attacking Midfield,Midfield,ASD Pro Eureka,AC Saluzzo,Serie D - A,24/25,1582.0,0.056890012642225,0.3413400758533502,0.3982300884955752,75000.0,<=0.5m,0.9074074074074074,0.7818181818181819,0.12857142857142836,0.8526645768025078,0.6328,72.00392841385946
871231,Rico Patterson (871231),22.9,England,right,Midfield - Central Midfield,Midfield,Without Club,Aberystwyth Town,Cymru Premier,24/25,952.0,0.1890756302521008,0.0945378151260504,0.2836134453781512,50000.0,<=0.5m,0.9490740740740741,0.8104575163398693,0.08571428571428592,0.9231974921630094,0.3808,71.99907363600265
1214452,Lorenzo Prandini (1214452),21.1,Italy,,Midfield - Central Midfield,Midfield,Chievo Verona,Chievo Verona,Serie D - B,24/25,1221.0,0.1474201474201474,0.1474201474201474,0.2948402948402948,100000.0,<=0.5m,0.8518518518518519,0.8300653594771242,0.34285714285714264,0.7852664576802508,0.4884,71.99525297210491
775980,Tim van den Heuvel (775980),21.5,Netherlands,left,Midfield - Central Midfield,Midfield,Hannover 96 II,PSV Eindhoven U21,Keuken Kampioen Divisie,24/25,1021.0,0.1762977473065622,0.3525954946131244,0.5288932419196866,300000.0,<=0.5m,0.9411764705882353,0.9411764705882353,0.2857142857142857,0.4796238244514106,0.4084,71.84075034904244
741293,Pol Fortuny (741293),21.4,Spain,left,Midfield - Attacking Midfield,Midfield,Real Madrid Castilla,Real Madrid Castilla,Primera Federación - Gr. II,24/25,1917.0,0.0469483568075117,0.3755868544600939,0.4225352112676056,400000.0,<=0.5m,0.9259259259259259,0.8181818181818182,0.3000000000000002,0.42946708463949845,0.7668,71.66572437013818
1176429,David Hicks (1176429),20.3,England,right,Midfield - Central Midfield,Midfield,Reading FC U21,Aveley FC,National League South,24/25,1059.0,0.0849858356940509,0.254957507082153,0.3399433427762039,,,0.8823529411764706,0.8823529411764706,0.457142857142857,0.5,0.4236,71.49146218487394
1108739,Riccardo Pavesi (1108739),19.8,Italy,right,Midfield - Central Midfield,Midfield,AC Crema 1908,AC Crema 1908,Serie D - B,24/25,1568.0,0.0573979591836734,0.1721938775510204,0.2295918367346938,75000.0,<=0.5m,0.75,0.7254901960784313,0.5285714285714285,0.8526645768025078,0.6272,71.12723124610346
1054701,Zidane Boulebiar (1054701),21.9,France  Algeria,right,Midfield - Central Midfield,Midfield,Racing Besançon,Racing Besançon,National 3 - Grp. H,24/25,943.0,0.1908801696712619,0.1908801696712619,0.3817603393425239,,,0.9537037037037037,0.9215686274509803,0.2285714285714288,0.5,0.3772,70.94439340180516
896270,Norbert Kiss (896270),22.4,Hungary,right,Midfield - Defensive Midfield,Midfield,Gyirmót FC Győr,Gyirmót FC Győr,NB II.,24/25,1040.0,0.0865384615384615,0.173076923076923,0.2596153846153846,75000.0,<=0.5m,0.8617021276595744,0.8617021276595744,0.15714285714285733,0.8526645768025078,0.416,70.3137174490953
847436,Igor Strzalek (847436),22.6,Poland,both,Midfield - Attacking Midfield,Midfield,Bruk-Bet Termalica Nieciecza,Bruk-Bet Termalica Nieciecza,Betclic 1 Liga,24/25,1052.0,0.1711026615969581,0.5988593155893536,0.7699619771863118,500000.0,<=0.5m,0.9814814814814815,0.9636363636363636,0.12857142857142836,0.377742946708464,0.4208,70.04984040735765
555065,Maksymilian Nowak (555065),22.0,Poland,,Midfield - Defensive Midfield,Midfield,MKS Kluczbork,MKS Kluczbork,Betclic 3 Liga - Group III,24/25,1305.0,0.1379310344827586,0.1379310344827586,0.2758620689655172,0.0,<=0.5m,0.9042553191489362,0.9042553191489362,0.21428571428571427,0.5,0.522,69.90389057750761
670683,Hugo Félix (670683),22.5,Portugal,right,Midfield - Attacking Midfield,Midfield,SL Benfica B,SL Benfica B,Liga Portugal 2,24/25,1247.0,0.144346431435445,0.8660785886126704,1.0104250200481155,2500000.0,2-5m,1.0,1.0,0.14285714285714285,0.1833855799373041,0.4988,69.84111240483655
1247237,Ivan Belikov (1247237),22.1,Russia  Ukraine,,Midfield - Defensive Midfield,Midfield,Baltika Kaliningrad,FC Tver,2. Division B,2025,998.0,0.0901803607214428,0.1803607214428857,0.2705410821643286,150000.0,<=0.5m,0.8829787234042553,0.8829787234042553,0.1999999999999998,0.6802507836990596,0.3992,69.69423437604213
693101,Jonas Mayer (693101),22.1,Austria,right,Midfield - Central Midfield,Midfield,SV Ried,SV Ried,2. Liga,24/25,961.0,0.1873048907388137,0.3746097814776275,0.5619146722164413,500000.0,<=0.5m,0.954248366013072,0.954248366013072,0.1999999999999998,0.377742946708464,0.3844,69.58730321470281
817330,Nicolò Contiliano (817330),22.0,Italy,left,Midfield - Defensive Midfield,Midfield,Cosenza Calcio,AC Carpi,Serie C-B,24/25,1057.0,0.1702932828760643,0.0851466414380321,0.2554399243140964,200000.0,<=0.5m,0.9074074074074074,0.851063829787234,0.21428571428571427,0.6018808777429467,0.4228,69.28778945377331
637792,João Veloso (637792),21.1,Portugal,right,Midfield - Central Midfield,Midfield,SL Benfica B,SL Benfica B,Liga Portugal 2,24/25,978.0,0.0920245398773006,0.2760736196319018,0.3680981595092025,500000.0,<=0.5m,0.9084967320261438,0.9084967320261438,0.34285714285714264,0.377742946708464,0.3912,69.19591946120141
1152997,Mateo Scheffer Bracco (1152997),21.9,Argentina  Italy,right,Midfield - Right Midfield,Midfield,SEF Torres 1903,Atalanta U23,Serie C-A,24/25,1196.0,0.0752508361204013,0.225752508361204,0.3010033444816054,250000.0,<=0.5m,0.8888888888888888,0.8888888888888888,0.2285714285714288,0.5282131661442007,0.4784,69.169460516495
780136,Aleksandar Stanković (780136),21.0,Serbia  Italy,right,Midfield - Defensive Midfield,Midfield,Club Brugge KV,FC Luzern,Super League,24/25,1022.0,0.2641878669275929,0.1761252446183953,0.4403131115459882,11000000.0,10m+,0.9814814814814815,0.9574468085106383,0.35714285714285715,0.06896551724137934,0.4088,69.12792903919537
1038512,Asier Osambela (1038512),21.8,Spain,right,Midfield - Attacking Midfield,Midfield,CA Osasuna Promesas,CA Osasuna Promesas,Primera Federación - Gr. I,24/25,996.0,0.2710843373493976,0.180722891566265,0.4518072289156626,500000.0,<=0.5m,0.9884259259259259,0.8363636363636363,0.24285714285714274,0.377742946708464,0.3984,69.11830072481796
730484,Aaron Zehnter (730484),21.8,Germany,left,Midfield - Left Midfield,Midfield,VfL Wolfsburg,SC Paderborn 07,2. Bundesliga,24/25,938.0,0.2878464818763326,1.1513859275053304,1.439232409381663,6000000.0,5-10m,1.0,1.0,0.24285714285714274,0.10501567398119127,0.3752,69.10793372145095
865682,Ezechiel Banzuzi (865682),21.5,Netherlands  DR Congo,right,Midfield - Central Midfield,Midfield,RB Leipzig,Oud-Heverlee Leuven,Jupiler Pro League,24/25,1042.0,0.1727447216890595,0.5182341650671786,0.6909788867562381,13000000.0,10m+,0.9934640522875817,0.9934640522875817,0.2857142857142857,0.053291536050156685,0.4168,69.09335321338567
829253,Almin Mesanovic (829253),22.6,Bosnia-Herzegovina  Germany,left,Midfield - Central Midfield,Midfield,SC Verl,Kickers Offenbach,Regionalliga Südwest,24/25,1076.0,0.0836431226765799,0.2509293680297397,0.3345724907063196,125000.0,<=0.5m,0.8758169934640523,0.8758169934640523,0.12857142857142836,0.7257053291536051,0.4304,69.07003707313648
1074628,Arthur Avom (1074628),21.7,Cameroon,right,Midfield - Central Midfield,Midfield,FC Lorient,FC Lorient,Ligue 2,24/25,1211.0,0.1486374896779521,0.4459124690338563,0.5945499587118084,5000000.0,2-5m,0.9738562091503268,0.9738562091503268,0.25714285714285723,0.11912225705329149,0.4844,69.0573698620514
941115,Rubén López (941115),22.0,Spain,left,Midfield - Central Midfield,Midfield,Deportivo de La Coruña,FC Barcelona Atlètic,Primera Federación - Gr. I,24/25,1149.0,0.1566579634464752,0.2349869451697128,0.391644908616188,500000.0,<=0.5m,0.9281045751633987,0.9281045751633987,0.21428571428571427,0.377742946708464,0.4596,68.99924719229385
882172,Rio Kyerematen (882172),21.2,England  Ghana,,Midfield - Central Midfield,Midfield,Tottenham Hotspur U21,Tottenham Hotspur U21,Premier League 2,24/25,1112.0,0.0809352517985611,0.2428057553956834,0.3237410071942446,,,0.869281045751634,0.869281045751634,0.3285714285714287,0.5,0.4448,68.8620056022409
1060024,Izan González (1060024),21.8,Spain,right,Midfield - Central Midfield,Midfield,CE Europa,UE Cornellà,Segunda Federación - Gr. III,24/25,2727.0,0.033003300330033,0.165016501650165,0.198019801980198,50000.0,<=0.5m,0.7222222222222222,0.6601307189542484,0.24285714285714274,0.9231974921630094,1.0,68.77779943743433
897489,Kurt Rüger (897489),20.5,Germany,right,Midfield - Central Midfield,Midfield,FC Bayern Munich II,FC Bayern Munich II,Regionalliga Bayern,24/25,1682.0,0.0535077288941736,0.2140309155766944,0.267538644470868,300000.0,<=0.5m,0.8263888888888888,0.7712418300653595,0.42857142857142855,0.4796238244514106,0.6728,68.6699744386783
922463,Ben Middlemas (922463),21.7,England,right,Midfield - Central Midfield,Midfield,Sunderland AFC U21,Sunderland AFC U21,Premier League 2,24/25,1397.0,0.0644237652111667,0.2576950608446671,0.3221188260558339,,,0.8657407407407407,0.8627450980392157,0.25714285714285723,0.5,0.5588,68.58082601929661
555067,Kacper Duda (555067),22.6,Poland,right,Midfield - Defensive Midfield,Midfield,Wisla Kraków,Wisla Kraków,Betclic 1 Liga,24/25,1210.0,0.0743801652892562,0.2975206611570248,0.371900826446281,600000.0,0.5-2m,0.9468085106382979,0.9468085106382979,0.12857142857142836,0.3385579937304075,0.484,68.44546540766643
891931,Jairo Noriega (891931),23.0,Spain,left,Midfield - Attacking Midfield,Midfield,Racing Ferrol,Ourense CF,Primera Federación - Gr. I,24/25,931.0,0.1933404940923737,0.2900107411385607,0.4833512352309345,300000.0,<=0.5m,0.9652777777777778,0.9090909090909091,0.07142857142857142,0.4796238244514106,0.3724,68.26214624073246
817747,Mark Nosatiy (817747),21.4,Russia,right,Midfield - Defensive Midfield,Midfield,FC Sochi-2,FC Sochi-2,2. Division B,2025,1026.0,0.087719298245614,0.175438596491228,0.2631578947368421,,,0.8723404255319149,0.8723404255319149,0.3000000000000002,0.5,0.4104,68.2444255319149
1006089,Francesco Bova (1006089),22.9,Italy,left,Midfield - Right Midfield,Midfield,ASD Asti,Città di Sant'Agata,Serie D - I,24/25,940.0,0.1914893617021276,0.0,0.1914893617021276,75000.0,<=0.5m,0.9583333333333334,0.6666666666666666,0.08571428571428592,0.8526645768025078,0.376,68.15206597999702
676114,Wilgot Marshage (676114),22.0,Sweden,right,Midfield - Defensive Midfield,Midfield,Sollentuna FK,Sollentuna FK,Ettan Norra,2025,900.0,0.2,0.0,0.2,0.0,<=0.5m,0.9745370370370371,0.776595744680851,0.21428571428571427,0.5,0.36,68.14608521895755
998205,Alejandro Granados (998205),20.2,Spain  United States,left,Midfield - Central Midfield,Midfield,Club Brugge KV,Club NXT,CPL,24/25,1586.0,0.0567465321563682,0.2269861286254728,0.2837326607818411,700000.0,0.5-2m,0.8379629629629629,0.8169934640522876,0.47142857142857153,0.30877742946708464,0.6344,68.02618995713925
708635,Lorenzo Bernasconi (708635),22.8,Italy,left,Midfield - Left Midfield,Midfield,Atalanta U23,Atalanta U23,Serie C-A,24/25,944.0,0.2860169491525424,0.7627118644067796,1.048728813559322,800000.0,0.5-2m,0.9953703703703703,0.9473684210526315,0.0999999999999999,0.280564263322884,0.3776,67.97007902375233
744600,Niklas Jahn (744600),22.1,Germany,right,Midfield - Defensive Midfield,Midfield,VfL Bochum II,VfL Bochum II,Oberliga Westfalen,24/25,1455.0,0.0618556701030927,0.1855670103092783,0.2474226804123711,200000.0,<=0.5m,0.8404255319148937,0.8404255319148937,0.1999999999999998,0.6018808777429467,0.582,67.87186420329486
694790,Lucas Halangk (694790),22.9,Germany,right,Midfield - Right Midfield,Midfield,Rot-Weiß Oberhausen,Hallescher FC,Regionalliga Northeast,24/25,1651.0,0.0545124167171411,0.2180496668685645,0.2725620835857056,100000.0,<=0.5m,0.8333333333333334,0.7777777777777778,0.08571428571428592,0.7852664576802508,0.6604,67.74693675672987
709966,Aleix Garrido (709966),22.5,Spain,right,Midfield - Central Midfield,Midfield,SD Eibar,FC Barcelona Atlètic,Primera Federación - Gr. I,24/25,1009.0,0.1783944499504459,0.267591674925669,0.445986124876115,500000.0,<=0.5m,0.934640522875817,0.934640522875817,0.14285714285714285,0.377742946708464,0.4036,67.6885469121818
864608,Aleksandr Metsiev (864608),20.4,Russia,right,Midfield - Central Midfield,Midfield,FC Sochi-2,FC Sochi-2,2. Division B,2025,1340.0,0.0671641791044776,0.2014925373134328,0.2686567164179104,,,0.8148148148148148,0.7843137254901961,0.44285714285714306,0.5,0.536,67.66357920946156
939523,Oisín Gallagher (939523),21.7,Ireland  Northern Ireland,right,Midfield - Central Midfield,Midfield,Lincoln City,Peterborough Sports,National League North,24/25,1618.0,0.0556242274412855,0.1668726823238566,0.2224969097651421,50000.0,<=0.5m,0.7291666666666666,0.7189542483660131,0.25714285714285723,0.9231974921630094,0.6472,67.03637740195347
1035645,Tyron Akpata (1035645),20.0,England  Nigeria,left,Midfield - Central Midfield,Midfield,West Ham United U21,West Ham United U21,Premier League 2,24/25,1418.0,0.0634696755994358,0.1904090267983074,0.2538787023977433,,,0.7847222222222222,0.7516339869281046,0.5,0.5,0.5672,67.02739215686275
918969,Lamine Camara (918969),22.6,Senegal,right,Midfield - Central Midfield,Midfield,AS Monaco,AS Monaco,Ligue 1,24/25,1033.0,0.1742497579864472,0.6098741529525653,0.7841239109390126,22000000.0,10m+,1.0,1.0,0.12857142857142836,0.036050156739811934,0.4132,66.69384505150022
707450,Lorenzo Amatucci (707450),22.5,Italy,right,Midfield - Defensive Midfield,Midfield,UD Las Palmas,US Salernitana 1919,Serie B,24/25,1009.0,0.267591674925669,0.0891972249752229,0.3567888999008919,3500000.0,2-5m,0.9861111111111112,0.9361702127659575,0.14285714285714285,0.14263322884012541,0.4036,66.38654639254933
1097604,Xander Joosen (1097604),20.2,Belgium,right,Midfield - Defensive Midfield,Midfield,Beerschot VA,Beerschot VA U23,3de Nationale VV A,24/25,1153.0,0.1561144839549002,0.0,0.1561144839549002,,,0.8726851851851852,0.6382978723404256,0.47142857142857153,0.5,0.4612,66.35944737138354
953004,Thomas Jørgensen (953004),20.9,Denmark,left,Midfield - Central Midfield,Midfield,Viborg FF,Viborg FF,Superliga,24/25,1054.0,0.0853889943074003,0.2561669829222011,0.3415559772296015,2000000.0,0.5-2m,0.8888888888888888,0.8888888888888888,0.3714285714285716,0.20219435736677116,0.4216,66.32291147932527
935173,Manuel Rosetti (935173),21.5,Italy,left,Midfield - Central Midfield,Midfield,AC Carpi,USD Sestri Levante 1919,Serie C-B,24/25,1215.0,0.1481481481481481,0.074074074074074,0.2222222222222222,200000.0,<=0.5m,0.8564814814814815,0.7124183006535948,0.2857142857142857,0.6018808777429467,0.486,66.07725977050521
912081,Jun-ho Bae (912081),23.0,"Korea, South",right,Midfield - Attacking Midfield,Midfield,Stoke City,Stoke City,Championship,24/25,1090.0,0.2477064220183486,0.4128440366972477,0.6605504587155964,3000000.0,2-5m,0.9768518518518519,0.9454545454545454,0.07142857142857142,0.1630094043887147,0.436,65.70535917466952
1119932,Ryan Cherradi (1119932),21.6,France  Morocco,,Midfield - Defensive Midfield,Midfield,Racing Besançon,Racing Besançon,National 3 - Grp. H,24/25,1143.0,0.0787401574803149,0.1574803149606299,0.2362204724409448,,,0.8297872340425532,0.8297872340425532,0.27142857142857124,0.5,0.4572,65.70209118541032
984948,Isra García (984948),22.6,Spain,both,Midfield - Attacking Midfield,Midfield,Linares Deportivo,Linares Deportivo,Segunda Federación - Gr. IV,24/25,935.0,0.0962566844919786,0.1925133689839572,0.2887700534759358,25000.0,<=0.5m,0.7893518518518519,0.7272727272727273,0.12857142857142836,0.9827586206896551,0.374,65.55113391716839
805486,Lois Ndema (805486),21.9,Switzerland  Cameroon,right,Midfield - Central Midfield,Midfield,FC Rapperswil-Jona,FC Biel-Bienne 1896,Promotion League,24/25,1342.0,0.067064083457526,0.2011922503725782,0.2682563338301043,200000.0,<=0.5m,0.8125,0.7777777777777778,0.2285714285714288,0.6018808777429467,0.5368,65.43758625665524
601495,Luciano Valente (601495),22.9,Netherlands  Italy,right,Midfield - Attacking Midfield,Midfield,Feyenoord Rotterdam,FC Groningen,Eredivisie,24/25,1305.0,0.1379310344827586,0.4827586206896551,0.6206896551724137,7000000.0,5-10m,0.9583333333333334,0.9272727272727272,0.08571428571428592,0.09874608150470221,0.522,64.79054037916109
883152,Finley Barbrook (883152),21.7,England,right,Midfield - Defensive Midfield,Midfield,Lincoln City,Sutton United,National League,24/25,1467.0,0.1226993865030674,0.0613496932515337,0.1840490797546012,,,0.8263888888888888,0.7446808510638298,0.25714285714285723,0.5,0.5868,64.76804221546773
1013897,Julian Brückner (1013897),21.9,Germany,,Midfield - Defensive Midfield,Midfield,DJK Don Bosco Bamberg,FT Schweinfurt,LL Bayern-N/W,24/25,1066.0,0.1688555347091932,0.0,0.1688555347091932,,,0.9050925925925926,0.7021276595744681,0.2285714285714288,0.5,0.4264,64.76146988629966
880245,Mateus Fernandes (880245),22.1,Portugal,right,Midfield - Central Midfield,Midfield,West Ham United,Southampton FC,Premier League,24/25,1461.0,0.1232032854209445,0.2464065708418891,0.3696098562628336,15000000.0,10m+,0.9150326797385621,0.9150326797385621,0.1999999999999998,0.050156739811912265,0.5844,64.64815514168049
726634,Matus Holicek (726634),21.6,Slovakia,,Midfield - Central Midfield,Midfield,Crewe Alexandra,Crewe Alexandra,League Two,24/25,2654.0,0.0339110776186887,0.1695553880934438,0.2034664657121326,275000.0,<=0.5m,0.7384259259259259,0.6928104575163399,0.27142857142857124,0.5,1.0,64.64487239340181
943893,Joel Tabiner (943893),22.7,England,left,Midfield - Central Midfield,Midfield,Crewe Alexandra,Crewe Alexandra,League Two,24/25,1495.0,0.1204013377926421,0.1806020066889632,0.3010033444816053,325000.0,<=0.5m,0.8366013071895425,0.8366013071895425,0.1142857142857144,0.46081504702194354,0.598,64.45606051825119
961902,Neco Celorio (961902),22.5,Spain,right,Midfield - Attacking Midfield,Midfield,CD Lugo,Algeciras CF,Primera Federación - Gr. II,24/25,1328.0,0.0677710843373494,0.2710843373493976,0.338855421686747,300000.0,<=0.5m,0.875,0.7636363636363637,0.14285714285714285,0.4796238244514106,0.5312,64.36244782803404
1063291,Noel Sernelius (1063291),20.1,Sweden,,Midfield - Central Midfield,Midfield,Husqvarna FF,Husqvarna FF,Ettan Södra,2025,1788.0,0.0503355704697986,0.1510067114093959,0.2013422818791946,250000.0,<=0.5m,0.7037037037037037,0.6862745098039216,0.4857142857142855,0.5282131661442007,0.7152,64.1571928538744
648899,Balázs Bakti (648899),21.6,Hungary,both,Midfield - Attacking Midfield,Midfield,Zalaegerszegi TE FC,Zalaegerszegi TE FC,NB I.,24/25,1286.0,0.0699844479004665,0.2099533437013997,0.2799377916018662,225000.0,<=0.5m,0.8217592592592593,0.7090909090909091,0.27142857142857124,0.5595611285266457,0.5144,64.14756479408204
924778,Emre Gül (924778),21.6,Türkiye  Germany,both,Midfield - Defensive Midfield,Midfield,FC Ingolstadt 04,FC Ingolstadt 04 II,Bayernliga Nord,24/25,951.0,0.0946372239747634,0.0946372239747634,0.1892744479495268,125000.0,<=0.5m,0.7662037037037037,0.7553191489361702,0.27142857142857124,0.7257053291536051,0.3804,64.0394937683441
1046130,Nermin Mesic (1046130),20.6,Germany  Bosnia-Herzegovina,,Midfield - Central Midfield,Midfield,SV Ried,SV Ried II,Regional League Central,24/25,1102.0,0.1633393829401088,0.0,0.1633393829401088,,,0.8912037037037037,0.5424836601307189,0.4142857142857141,0.5,0.4408,63.83695269218798
941357,Ethan Alagich (941357),22.7,Australia,left,Midfield - Central Midfield,Midfield,Adelaide United,Adelaide United,A-League Men,24/25,1164.0,0.1546391752577319,0.1546391752577319,0.3092783505154639,450000.0,<=0.5m,0.8703703703703703,0.8431372549019608,0.1142857142857144,0.40909090909090906,0.4656,63.83493783776137
